Espérance de vie et indicateurs de mortalité dans le monde en moyenne 2015-2020,,,,
,,,,
,"Espérance de vie
à la naissance",,Taux de mortalité,"Taux de
mortalité infantile"
,"Femmes
en années","Hommes
en années",en  ‰,en  ‰
Europe,,,,
Allemagne,"83,6","79,0","11,3",2
Autriche,"84,2","79,5","9,7",2
Belgique,"83,7","79,0","9,8",3
Bulgarie,"78,4","71,5","15,3",7
Danemark,"82,8","79,0","9,6",3
Espagne,"86,0","80,6","9,1",2
Estonie,"82,0","73,0","12,2",3
Finlande,"84,4","78,8","9,8",2
France,"85,7","79,9","9,0",3
Grèce,"84,0","79,0","10,9",3
Hongrie,"79,5","72,5","13,0",4
Irlande,"83,7","79,8","6,6",2
Italie,"85,4","81,1","10,6",2
Lettonie,"79,4","69,7","15,1",5
Lituanie,"80,0","69,4","14,3",4
Norvège,"84,3","80,5","7,9",2
Pays-Bas,"83,8","80,3","8,7",3
Pologne,"81,7","73,9","10,5",4
Portugal,"84,3","78,6","10,8",2
Rép. tchèque,"81,8","76,0","10,7",2
Roumanie,"79,1","72,2","13,0",7
Royaume-Uni,"83,5","80,0","9,0",3
Russie,"76,8","65,6","13,6",7
Slovaquie,"80,4","73,5","10,1",5
Suède,"84,4","81,0","9,1",2
Suisse,"85,4","81,6","8,0",3
Afrique,,,,
Afrique du Sud (r),"66,9","60,0","9,4",32
Congo (Rép. dém. du) ,"66,9","63,6","7,1",39
Égypte,"74,1","69,5","5,8",16
Kenya,"69,6","65,0","5,7",35
Nigeria,"54,9","53,3","12,0",63
Soudan,"66,4","63,1","7,3",44
Tanzanie,"68,4","65,0","6,4",39
Amérique,,,,
Argentine,"80,5","73,1","7,6",12
Brésil,"79,4","72,2","6,3",13
Canada,"84,4","80,7","7,5",4
Colombie,"78,3","71,1","6,1",15
États-Unis,"81,9","77,3","8,4",5
Mexique,"79,8","75,0","4,9",16
Asie ,,,,
Bangladesh,"74,7","71,3","5,3",27
Chine,"78,1","75,0","7,5",10
Inde,"70,5","67,4","7,4",35
Indonésie,"71,7","67,4","7,2",21
Japon,"87,2","80,7","10,8",2
Pakistan,"67,8","65,7","7,2",64
Philippines,"72,9","66,0","6,5",19
Océanie,,,,
Australie,"85,0","81,3","6,7",3
Nouvelle-Zélande,"83,7","80,5","7,0",4
Papouasie-Nlle-Guinée,"68,4","63,4","7,1",45
r : données révisées.,,,,
Note : les données de ce tableau sont issues de projections pour la période de 2015 à 2020.,,,,
Source : ONU (World Population Prospects: The 2017 revision).,,,,
